pair,z_entry,z_stop,cost_bdr_bps,cost_syn_bps,borrow_bps_day,bars,trades,winrate,expectancy_per_trade,median_hold_bars,sharpe_hourly_annualized,mdd,pnl_total,costs_total
TSLA34_TSLA,1.500000,3.500000,10.000000,2.000000,0.000000,8676,494,0.957490,0.664954,2,7.016628,-3.251699,305.402867,46.172297
TSLA34_TSLA,1.500000,4.000000,10.000000,2.000000,0.000000,8676,494,0.957490,0.664954,2,7.016628,-3.251699,305.402867,46.172297
TSLA34_TSLA,1.500000,3.000000,10.000000,2.000000,0.000000,8676,495,0.953535,0.658771,2,6.994873,-3.251699,302.992702,46.201332
TSLA34_TSLA,1.500000,4.000000,10.000000,2.000000,20.000000,8676,494,0.951417,0.648022,2,6.861263,-3.343869,297.038407,54.536757
TSLA34_TSLA,1.500000,3.500000,10.000000,2.000000,20.000000,8676,494,0.951417,0.648022,2,6.861263,-3.343869,297.038407,54.536757
TSLA34_TSLA,1.500000,3.000000,10.000000,2.000000,20.000000,8676,495,0.947475,0.641882,2,6.838924,-3.343869,294.632316,54.561719
BABA34_BABA,1.500000,3.500000,10.000000,2.000000,0.000000,8194,482,0.954357,0.295976,3,6.826970,-0.993657,128.354601,28.612252
BABA34_BABA,1.500000,4.000000,10.000000,2.000000,0.000000,8194,482,0.954357,0.295813,3,6.824542,-0.993657,128.276373,28.612164
BABA34_BABA,1.500000,3.000000,10.000000,2.000000,0.000000,8194,482,0.950207,0.292944,3,6.774081,-0.993657,126.893337,28.611719
TSLA34_TSLA,1.500000,4.000000,10.000000,2.000000,40.000000,8676,494,0.945344,0.631090,2,6.702232,-3.507959,288.673947,62.901217
TSLA34_TSLA,1.500000,3.500000,10.000000,2.000000,40.000000,8676,494,0.945344,0.631090,2,6.702232,-3.507959,288.673947,62.901217
TSLA34_TSLA,1.500000,3.000000,10.000000,2.000000,40.000000,8676,495,0.941414,0.624992,2,6.679276,-3.507959,286.271929,62.922106
BABA34_BABA,1.500000,3.500000,10.000000,2.000000,20.000000,8194,482,0.943983,0.284929,3,6.605241,-1.011761,123.030121,33.936732
BABA34_BABA,1.500000,4.000000,10.000000,2.000000,20.000000,8194,482,0.943983,0.284739,3,6.601902,-1.011761,122.938413,33.950124
BABA34_BABA,1.500000,3.000000,10.000000,2.000000,20.000000,8194,482,0.939834,0.281926,3,6.551760,-1.011761,121.582403,33.922653
BABA34_BABA,1.500000,3.500000,10.000000,2.000000,40.000000,8194,482,0.937759,0.273883,3,6.375194,-1.029864,117.705641,39.261212
BABA34_BABA,1.500000,4.000000,10.000000,2.000000,40.000000,8194,482,0.937759,0.273664,3,6.370917,-1.029864,117.600453,39.288084
BABA34_BABA,1.500000,3.000000,10.000000,2.000000,40.000000,8194,482,0.933610,0.270907,3,6.321105,-1.029864,116.271470,39.233586
TSMC34_TSM,1.500000,4.000000,10.000000,2.000000,0.000000,7540,367,0.940054,0.951953,2,6.301182,-3.559266,312.124417,74.505508
TSMC34_TSM,1.500000,3.500000,10.000000,2.000000,0.000000,7540,370,0.932432,0.944150,2,6.293053,-3.159254,311.774738,75.140950
TSMC34_TSM,1.500000,3.000000,10.000000,2.000000,0.000000,7540,371,0.929919,0.939868,2,6.290327,-3.159254,311.055664,75.290451
TSMC34_TSM,1.500000,4.000000,10.000000,2.000000,20.000000,7540,367,0.931880,0.912853,2,6.061325,-3.708883,297.774700,88.855224
TSMC34_TSM,1.500000,3.500000,10.000000,2.000000,20.000000,7540,370,0.927027,0.905607,2,6.055227,-3.258541,297.513845,89.401844
TSMC34_TSM,1.500000,3.000000,10.000000,2.000000,20.000000,7540,371,0.924528,0.901541,2,6.052980,-3.258541,296.836187,89.509928
TSLA34_TSLA,1.500000,4.000000,20.000000,5.000000,0.000000,8676,494,0.953441,0.614324,2,5.963768,-3.718029,255.383382,96.191781
TSLA34_TSLA,1.500000,3.500000,20.000000,5.000000,0.000000,8676,494,0.953441,0.614324,2,5.963768,-3.718029,255.383382,96.191781
TSLA34_TSLA,1.500000,3.000000,20.000000,5.000000,0.000000,8676,495,0.949495,0.608212,2,5.933245,-3.718029,252.941609,96.252426
MSFT34_MSFT,1.500000,3.000000,10.000000,2.000000,0.000000,11007,485,0.944330,0.575500,2,5.898750,-2.750866,241.182930,75.877699
TSMC34_TSM,1.500000,4.000000,10.000000,2.000000,40.000000,7540,367,0.910082,0.873753,2,5.812956,-3.858499,283.424983,103.204941
TSMC34_TSM,1.500000,3.500000,10.000000,2.000000,40.000000,7540,370,0.908108,0.867064,2,5.808945,-3.357827,283.252952,103.662737
TSMC34_TSM,1.500000,3.000000,10.000000,2.000000,40.000000,7540,371,0.905660,0.863213,2,5.807162,-3.357827,282.616711,103.729404
TSLA34_TSLA,1.500000,3.500000,20.000000,5.000000,20.000000,8676,494,0.945344,0.597392,2,5.798356,-3.882119,247.018922,104.556241
TSLA34_TSLA,1.500000,4.000000,20.000000,5.000000,20.000000,8676,494,0.945344,0.597392,2,5.798356,-3.882119,247.018922,104.556241
AAPL34_AAPL,1.500000,3.000000,10.000000,2.000000,0.000000,12961,643,0.926905,0.333240,2,5.773224,-1.358858,187.172259,54.199245
TSLA34_TSLA,1.500000,3.000000,20.000000,5.000000,20.000000,8676,495,0.941414,0.591322,2,5.767172,-3.882119,244.581222,104.612813
AAPL34_AAPL,1.500000,4.000000,10.000000,2.000000,0.000000,12961,643,0.933126,0.342431,2,5.749733,-1.358858,193.081938,54.202209
AAPL34_AAPL,1.500000,3.500000,10.000000,2.000000,0.000000,12961,643,0.931571,0.340418,2,5.741197,-1.358858,191.787833,54.201662
TSLA34_TSLA,1.500000,3.500000,20.000000,5.000000,40.000000,8676,494,0.935223,0.580460,2,5.629484,-4.046209,238.654462,112.920701
TSLA34_TSLA,1.500000,4.000000,20.000000,5.000000,40.000000,8676,494,0.935223,0.580460,2,5.629484,-4.046209,238.654462,112.920701
TSLA34_TSLA,1.500000,3.000000,20.000000,5.000000,40.000000,8676,495,0.931313,0.574433,2,5.597612,-4.046209,236.220835,112.973199
NVDC34_NVDA,1.500000,3.000000,10.000000,2.000000,0.000000,8254,425,0.952941,0.090796,2,5.516105,-0.283956,35.461116,6.252878
NVDC34_NVDA,1.500000,3.500000,10.000000,2.000000,0.000000,8254,425,0.952941,0.090796,2,5.516105,-0.283956,35.461116,6.252878
NVDC34_NVDA,1.500000,4.000000,10.000000,2.000000,0.000000,8254,425,0.952941,0.090796,2,5.516105,-0.283956,35.461116,6.252878
MSFT34_MSFT,1.500000,3.500000,10.000000,2.000000,0.000000,11007,485,0.948454,0.594829,2,5.486466,-2.750866,250.557716,75.885686
MSFT34_MSFT,1.500000,4.000000,10.000000,2.000000,0.000000,11007,485,0.948454,0.594829,2,5.486466,-2.750866,250.557716,75.885686
AAPL34_AAPL,1.500000,3.000000,10.000000,2.000000,20.000000,12961,643,0.920684,0.314597,2,5.465425,-1.439618,175.185063,66.186441
AAPL34_AAPL,1.500000,4.000000,10.000000,2.000000,20.000000,12961,643,0.926905,0.323604,2,5.448142,-1.439618,180.976062,66.308085
AAPL34_AAPL,1.500000,3.500000,10.000000,2.000000,20.000000,12961,643,0.925350,0.321610,2,5.438028,-1.439618,179.694357,66.295138
AMZO34_AMZN,1.500000,4.000000,10.000000,2.000000,0.000000,9708,437,0.940503,0.407658,2,5.426098,-3.638365,156.541450,43.227269
AMZO34_AMZN,1.500000,3.000000,10.000000,2.000000,0.000000,9708,437,0.940503,0.407658,2,5.426098,-3.638365,156.541450,43.227269
AMZO34_AMZN,1.500000,3.500000,10.000000,2.000000,0.000000,9708,437,0.940503,0.407658,2,5.426098,-3.638365,156.541450,43.227269
NVDC34_NVDA,1.500000,3.500000,10.000000,2.000000,20.000000,8254,425,0.943529,0.088202,2,5.386662,-0.283956,34.358823,7.355171
NVDC34_NVDA,1.500000,4.000000,10.000000,2.000000,20.000000,8254,425,0.943529,0.088202,2,5.386662,-0.283956,34.358823,7.355171
NVDC34_NVDA,1.500000,3.000000,10.000000,2.000000,20.000000,8254,425,0.943529,0.088202,2,5.386662,-0.283956,34.358823,7.355171
MSFT34_MSFT,1.500000,3.000000,10.000000,2.000000,20.000000,11007,485,0.927835,0.520760,2,5.349998,-3.308540,214.634216,102.426412
M1TA34_META,1.500000,3.500000,10.000000,2.000000,0.000000,9707,442,0.947964,0.785144,2,5.330443,-2.361396,311.862753,70.378161
M1TA34_META,1.500000,4.000000,10.000000,2.000000,0.000000,9707,442,0.947964,0.785144,2,5.330443,-2.361396,311.862753,70.378161
M1TA34_META,1.500000,3.000000,10.000000,2.000000,0.000000,9707,442,0.945701,0.782880,2,5.316889,-2.361396,310.862372,70.377785
BABA34_BABA,1.500000,3.500000,20.000000,5.000000,0.000000,8194,482,0.939834,0.263820,3,5.285601,-1.138362,97.357663,59.609190
BABA34_BABA,1.500000,4.000000,20.000000,5.000000,0.000000,8194,482,0.939834,0.263658,3,5.284658,-1.138362,97.279537,59.609000
NVDC34_NVDA,1.500000,3.500000,10.000000,2.000000,40.000000,8254,425,0.931765,0.085609,2,5.252759,-0.327698,33.256530,8.457464
NVDC34_NVDA,1.500000,4.000000,10.000000,2.000000,40.000000,8254,425,0.931765,0.085609,2,5.252759,-0.327698,33.256530,8.457464
NVDC34_NVDA,1.500000,3.000000,10.000000,2.000000,40.000000,8254,425,0.931765,0.085609,2,5.252759,-0.327698,33.256530,8.457464
BABA34_BABA,1.500000,3.000000,20.000000,5.000000,0.000000,8194,482,0.935685,0.260790,3,5.224111,-1.138362,95.896942,59.608114
AMZO34_AMZN,1.500000,3.500000,10.000000,2.000000,20.000000,9708,437,0.933638,0.390214,2,5.196707,-3.681618,148.918394,50.850325
AMZO34_AMZN,1.500000,4.000000,10.000000,2.000000,20.000000,9708,437,0.933638,0.390214,2,5.196707,-3.681618,148.918394,50.850325
AMZO34_AMZN,1.500000,3.000000,10.000000,2.000000,20.000000,9708,437,0.933638,0.390214,2,5.196707,-3.681618,148.918394,50.850325
M1TA34_META,1.500000,4.000000,10.000000,2.000000,20.000000,9707,442,0.941176,0.758206,2,5.157273,-2.539650,299.956353,82.284561
M1TA34_META,1.500000,3.500000,10.000000,2.000000,20.000000,9707,442,0.941176,0.758206,2,5.157273,-2.539650,299.956353,82.284561
M1TA34_META,1.500000,3.000000,10.000000,2.000000,20.000000,9707,442,0.938914,0.755943,2,5.143553,-2.539650,298.955972,82.284185
AAPL34_AAPL,1.500000,3.000000,10.000000,2.000000,40.000000,12961,643,0.906687,0.295955,2,5.142728,-1.520378,163.197867,78.173637
AAPL34_AAPL,1.500000,4.000000,10.000000,2.000000,40.000000,12961,643,0.912908,0.304777,2,5.132584,-1.520378,168.870186,78.413961
AAPL34_AAPL,1.500000,3.500000,10.000000,2.000000,40.000000,12961,643,0.911353,0.302802,2,5.120791,-1.520378,167.600881,78.388614
JDCO34_JD,1.500000,3.500000,10.000000,2.000000,0.000000,5526,235,0.970213,0.576630,2,5.096425,-4.043179,122.533455,25.961078
JDCO34_JD,1.500000,4.000000,10.000000,2.000000,0.000000,5526,235,0.970213,0.576630,2,5.096425,-4.043179,122.533455,25.961078
JDCO34_JD,1.500000,3.000000,10.000000,2.000000,0.000000,5526,235,0.965957,0.570073,2,5.063107,-4.043179,120.992441,25.962583
BABA34_BABA,1.500000,3.500000,20.000000,5.000000,20.000000,8194,482,0.935685,0.252774,3,5.041064,-1.156465,92.033183,64.933670
BABA34_BABA,1.500000,4.000000,20.000000,5.000000,20.000000,8194,482,0.935685,0.252584,3,5.039153,-1.156465,91.941577,64.946960
MSFT34_MSFT,1.500000,3.500000,10.000000,2.000000,20.000000,11007,485,0.931959,0.540090,2,4.979648,-3.308540,224.009003,102.434400
MSFT34_MSFT,1.500000,4.000000,10.000000,2.000000,20.000000,11007,485,0.931959,0.540090,2,4.979648,-3.308540,224.009003,102.434400
M1TA34_META,1.500000,4.000000,10.000000,2.000000,40.000000,9707,442,0.936652,0.731268,2,4.979405,-2.717903,288.049953,94.190961
M1TA34_META,1.500000,3.500000,10.000000,2.000000,40.000000,9707,442,0.936652,0.731268,2,4.979405,-2.717903,288.049953,94.190961
BABA34_BABA,1.500000,3.000000,20.000000,5.000000,20.000000,8194,482,0.931535,0.249771,3,4.978893,-1.156465,90.586009,64.919047
M1TA34_META,1.500000,3.000000,10.000000,2.000000,40.000000,9707,442,0.934389,0.729005,2,4.965519,-2.717903,287.049572,94.190585
AMZO34_AMZN,1.500000,3.000000,10.000000,2.000000,40.000000,9708,437,0.915332,0.372769,2,4.960651,-3.733960,141.295337,58.473382
AMZO34_AMZN,1.500000,4.000000,10.000000,2.000000,40.000000,9708,437,0.915332,0.372769,2,4.960651,-3.733960,141.295337,58.473382
AMZO34_AMZN,1.500000,3.500000,10.000000,2.000000,40.000000,9708,437,0.915332,0.372769,2,4.960651,-3.733960,141.295337,58.473382
GOGL34_GOOGL,1.500000,4.000000,10.000000,2.000000,0.000000,10794,478,0.899582,0.470546,3,4.953582,-3.012907,194.558695,60.718976
GOGL34_GOOGL,1.500000,3.500000,10.000000,2.000000,0.000000,10794,478,0.899582,0.468879,3,4.936774,-3.012907,193.762011,60.719789
TSLA34_TSLA,2.000000,4.000000,10.000000,2.000000,0.000000,8676,229,0.965066,0.797632,2,4.928857,-3.498989,171.968257,21.377930
TSLA34_TSLA,2.000000,3.000000,10.000000,2.000000,0.000000,8676,229,0.965066,0.797632,2,4.928857,-3.498989,171.968257,21.377930
TSLA34_TSLA,2.000000,3.500000,10.000000,2.000000,0.000000,8676,229,0.965066,0.797632,2,4.928857,-3.498989,171.968257,21.377930
GOGL34_GOOGL,1.500000,3.000000,10.000000,2.000000,0.000000,10794,479,0.895616,0.464036,3,4.911036,-3.012907,191.875063,60.790736
JDCO34_JD,1.500000,4.000000,10.000000,2.000000,20.000000,5526,235,0.965957,0.552771,2,4.892601,-4.074847,116.926479,31.568054
JDCO34_JD,1.500000,3.500000,10.000000,2.000000,20.000000,5526,235,0.965957,0.552771,2,4.892601,-4.074847,116.926479,31.568054
AVGO34_AVGO,1.500000,4.000000,10.000000,2.000000,0.000000,5914,244,0.922131,0.118788,2,4.860502,-0.606372,26.403199,5.163910
AVGO34_AVGO,1.500000,3.000000,10.000000,2.000000,0.000000,5914,244,0.922131,0.118788,2,4.860502,-0.606372,26.403199,5.163910
AVGO34_AVGO,1.500000,3.500000,10.000000,2.000000,0.000000,5914,244,0.922131,0.118788,2,4.860502,-0.606372,26.403199,5.163910
JDCO34_JD,1.500000,3.000000,10.000000,2.000000,20.000000,5526,235,0.961702,0.546333,2,4.858647,-4.074847,115.413757,31.541267
TSLA34_TSLA,2.000000,3.500000,10.000000,2.000000,20.000000,8676,229,0.960699,0.779721,2,4.835474,-3.553032,167.866780,25.479407
TSLA34_TSLA,2.000000,4.000000,10.000000,2.000000,20.000000,8676,229,0.960699,0.779721,2,4.835474,-3.553032,167.866780,25.479407
TSLA34_TSLA,2.000000,3.000000,10.000000,2.000000,20.000000,8676,229,0.960699,0.779721,2,4.835474,-3.553032,167.866780,25.479407
BABA34_BABA,1.500000,3.500000,20.000000,5.000000,40.000000,8194,482,0.906639,0.241727,3,4.788855,-1.174569,86.708703,70.258150
BABA34_BABA,1.500000,4.000000,20.000000,5.000000,40.000000,8194,482,0.906639,0.241509,3,4.785949,-1.174569,86.603617,70.284920
BABA34_BABA,2.000000,3.500000,10.000000,2.000000,0.000000,8194,202,0.970297,0.367781,3,4.774230,-1.095042,68.217080,12.152765
BABA34_BABA,2.000000,4.000000,10.000000,2.000000,0.000000,8194,202,0.970297,0.367393,3,4.770921,-1.095042,68.138852,12.152677
TSMC34_TSM,1.500000,4.000000,20.000000,5.000000,0.000000,7540,367,0.920981,0.841932,2,4.764217,-3.932436,231.388770,155.241154
MSFT34_MSFT,1.500000,3.000000,10.000000,2.000000,40.000000,11007,485,0.896907,0.466021,2,4.756079,-3.902380,188.085503,128.975126
TSLA34_TSLA,2.000000,3.000000,10.000000,2.000000,40.000000,8676,229,0.956332,0.761811,2,4.740049,-3.683568,163.765303,29.580883
TSLA34_TSLA,2.000000,4.000000,10.000000,2.000000,40.000000,8676,229,0.956332,0.761811,2,4.740049,-3.683568,163.765303,29.580883
TSLA34_TSLA,2.000000,3.500000,10.000000,2.000000,40.000000,8676,229,0.956332,0.761811,2,4.740049,-3.683568,163.765303,29.580883
TSMC34_TSM,1.500000,3.500000,20.000000,5.000000,0.000000,7540,370,0.916216,0.834093,2,4.736441,-3.919777,230.352018,156.563671
TSMC34_TSM,1.500000,3.000000,20.000000,5.000000,0.000000,7540,371,0.913747,0.829890,2,4.726492,-3.919777,229.471093,156.875023
BABA34_BABA,1.500000,3.000000,20.000000,5.000000,40.000000,8194,482,0.902490,0.238753,3,4.726005,-1.174569,85.275076,70.229980
BABA34_BABA,2.000000,3.000000,10.000000,2.000000,0.000000,8194,202,0.960396,0.360547,2,4.703098,-1.095042,66.755815,12.152232
AVGO34_AVGO,1.500000,3.500000,10.000000,2.000000,20.000000,5914,244,0.901639,0.114266,2,4.687868,-0.630096,25.299819,6.267290
AVGO34_AVGO,1.500000,3.000000,10.000000,2.000000,20.000000,5914,244,0.901639,0.114266,2,4.687868,-0.630096,25.299819,6.267290
AVGO34_AVGO,1.500000,4.000000,10.000000,2.000000,20.000000,5914,244,0.901639,0.114266,2,4.687868,-0.630096,25.299819,6.267290
GOGL34_GOOGL,1.500000,4.000000,10.000000,2.000000,20.000000,10794,478,0.884937,0.445807,3,4.683597,-3.122127,182.733715,72.543956
JDCO34_JD,1.500000,3.500000,10.000000,2.000000,40.000000,5526,235,0.957447,0.528911,2,4.683282,-4.106515,111.319503,37.175030
JDCO34_JD,1.500000,4.000000,10.000000,2.000000,40.000000,5526,235,0.957447,0.528911,2,4.683282,-4.106515,111.319503,37.175030
GOGL34_GOOGL,1.500000,3.500000,10.000000,2.000000,20.000000,10794,478,0.884937,0.444184,3,4.666732,-3.122127,181.957658,72.524142
JDCO34_JD,1.500000,3.000000,10.000000,2.000000,40.000000,5526,235,0.953191,0.522594,2,4.648692,-4.106515,109.835073,37.119951
BABA34_BABA,2.000000,3.500000,10.000000,2.000000,20.000000,8194,202,0.970297,0.355387,3,4.646181,-1.130159,65.713613,14.656231
BABA34_BABA,2.000000,4.000000,10.000000,2.000000,20.000000,8194,202,0.970297,0.354933,3,4.641704,-1.130159,65.621905,14.669624
GOGL34_GOOGL,1.500000,3.000000,10.000000,2.000000,20.000000,10794,479,0.881002,0.439392,3,4.639765,-3.122127,180.070710,72.595090
NVDC34_NVDA,1.500000,3.500000,20.000000,5.000000,0.000000,8254,425,0.938824,0.082828,2,4.583842,-0.381149,28.687055,13.026939
NVDC34_NVDA,1.500000,3.000000,20.000000,5.000000,0.000000,8254,425,0.938824,0.082828,2,4.583842,-0.381149,28.687055,13.026939
NVDC34_NVDA,1.500000,4.000000,20.000000,5.000000,0.000000,8254,425,0.938824,0.082828,2,4.583842,-0.381149,28.687055,13.026939
BABA34_BABA,2.000000,3.000000,10.000000,2.000000,20.000000,8194,202,0.960396,0.348220,2,4.574385,-1.130159,64.265895,14.642152
BABA34_BABA,2.000000,3.500000,10.000000,2.000000,40.000000,8194,202,0.950495,0.342994,3,4.512676,-1.165276,63.210146,17.159698
AVGO34_AVGO,1.500000,3.500000,10.000000,2.000000,40.000000,5914,244,0.881148,0.109744,2,4.510225,-0.653820,24.196439,7.370670
AVGO34_AVGO,1.500000,3.000000,10.000000,2.000000,40.000000,5914,244,0.881148,0.109744,2,4.510225,-0.653820,24.196439,7.370670
AVGO34_AVGO,1.500000,4.000000,10.000000,2.000000,40.000000,5914,244,0.881148,0.109744,2,4.510225,-0.653820,24.196439,7.370670
BABA34_BABA,2.000000,4.000000,10.000000,2.000000,40.000000,8194,202,0.950495,0.342473,3,4.506993,-1.165276,63.104958,17.186570
TSMC34_TSM,1.500000,4.000000,20.000000,5.000000,20.000000,7540,367,0.891008,0.802832,2,4.502839,-4.082052,217.039054,169.590871
TSMC34_TSM,1.500000,3.500000,20.000000,5.000000,20.000000,7540,370,0.886486,0.795550,2,4.477092,-4.019063,216.091124,170.824564
TSMC34_TSM,1.500000,3.000000,20.000000,5.000000,20.000000,7540,371,0.884097,0.791562,2,4.467526,-4.019063,215.251616,171.094499
NVDC34_NVDA,1.500000,3.500000,20.000000,5.000000,20.000000,8254,425,0.922353,0.080235,2,4.440998,-0.477622,27.584761,14.129233
NVDC34_NVDA,1.500000,3.000000,20.000000,5.000000,20.000000,8254,425,0.922353,0.080235,2,4.440998,-0.477622,27.584761,14.129233
NVDC34_NVDA,1.500000,4.000000,20.000000,5.000000,20.000000,8254,425,0.922353,0.080235,2,4.440998,-0.477622,27.584761,14.129233
BABA34_BABA,2.000000,3.000000,10.000000,2.000000,40.000000,8194,202,0.940594,0.335894,2,4.440204,-1.165276,61.775975,17.132072
MSFT34_MSFT,1.500000,4.000000,10.000000,2.000000,40.000000,11007,485,0.901031,0.485350,2,4.439429,-3.902380,197.460290,128.983113
MSFT34_MSFT,1.500000,3.500000,10.000000,2.000000,40.000000,11007,485,0.901031,0.485350,2,4.439429,-3.902380,197.460290,128.983113
TSMC34_TSM,2.000000,4.000000,10.000000,2.000000,0.000000,7540,153,0.980392,1.208156,2,4.420994,-3.559266,169.636494,30.442375
TSMC34_TSM,2.000000,3.500000,10.000000,2.000000,0.000000,7540,156,0.961538,1.184720,2,4.410724,-3.159254,169.286816,31.077818
